x;Csc(x)
-10.000000000000;1.838163960889
-9.950000000000;1.994395238100
-9.900000000000;2.185620873912
-9.850000000000;2.424106921558
-9.800000000000;2.728668347471
-9.750000000000;3.129702440285
-9.700000000000;3.679708915919
-9.650000000000;4.477823149918
-9.600000000000;5.736353261299
-9.550000000000;8.006723270083
-9.500000000000;13.306521497700
-9.450000000000;39.652068730098
-9.400000000000;-40.362576291087
-9.350000000000;-13.385395312716
-9.300000000000;-8.035069962328
-9.250000000000;-5.750778995132
-9.200000000000;-4.486519742434
-9.150000000000;-3.685505033199
-9.100000000000;-3.133829934553
-9.050000000000;-2.731748492075
-9.000000000000;-2.426486643550
-8.950000000000;-2.187508991860
-8.900000000000;-1.995924894364
-8.850000000000;-1.839424009487
-8.800000000000;-1.709643710516
-8.750000000000;-1.600706990649
-8.700000000000;-1.508365629391
-8.650000000000;-1.429475206914
-8.600000000000;-1.361661154294
-8.550000000000;-1.303099416846
-8.500000000000;-1.252368365364
-8.450000000000;-1.208346387159
-8.400000000000;-1.170139571366
-8.350000000000;-1.137029706388
-8.300000000000;-1.108436289611
-8.250000000000;-1.083888398624
-8.200000000000;-1.063003633612
-8.150000000000;-1.045472221872
-8.100000000000;-1.031044958734
-8.050000000000;-1.019524053207
-8.000000000000;-1.010756218400
-7.950000000000;-1.004627538214
-7.900000000000;-1.001059780105
-7.850000000000;-1.000007926757
-7.800000000000;-1.001458779563
-7.750000000000;-1.005430552502
-7.700000000000;-1.011973432982
-7.650000000000;-1.021171142032
-7.600000000000;-1.033143585047
-7.550000000000;-1.048050751794
-7.500000000000;-1.066098107421
-7.450000000000;-1.087543823977
-7.400000000000;-1.112708347305
-7.350000000000;-1.141986996282
-7.300000000000;-1.175866579287
-7.250000000000;-1.214947431655
-7.200000000000;-1.259972899936
-7.150000000000;-1.311869241823
-7.100000000000;-1.371800371422
-7.050000000000;-1.441244196283
-7.000000000000;-1.522101062564
-6.950000000000;-1.616851137747
-6.900000000000;-1.728788478189
-6.850000000000;-1.862379113793
-6.800000000000;-2.023827119214
-6.750000000000;-2.222004595238
-6.700000000000;-2.470051120368
-6.650000000000;-2.788281439261
-6.600000000000;-3.209846643548
-6.550000000000;-3.792760783978
-6.500000000000;-4.648568498395
-6.450000000000;-6.022568762258
-6.400000000000;-8.580067116572
-6.350000000000;-14.977909488350
-6.300000000000;-59.474599658303
-6.250000000000;30.139349389572
-6.200000000000;12.035229115754
-6.150000000000;7.530579299909
-6.100000000000;5.489603933583
-6.050000000000;4.327547045345
-6.000000000000;3.578899547254
-5.950000000000;3.057591432793
-5.900000000000;2.674678828785
-5.850000000000;2.382290900364
-5.800000000000;2.152379055264
-5.750000000000;1.967423103308
-5.700000000000;1.815918382900
-5.650000000000;1.690001130162
-5.600000000000;1.584116663238
-5.550000000000;1.494232582127
-5.500000000000;1.417353429361
-5.450000000000;1.351210185513
-5.400000000000;1.294055324880
-5.350000000000;1.244523852596
-5.300000000000;1.201536848933
-5.250000000000;1.164233137280
-5.200000000000;1.131920006902
-5.150000000000;1.104037126360
-5.100000000000;1.080129770124
-5.050000000000;1.059828743594
-5.000000000000;1.042835212772
-4.950000000000;1.028909190107
-4.900000000000;1.017860797713
-4.850000000000;1.009543684915
-4.800000000000;1.003850158026
-4.750000000000;1.000707711526
-4.700000000000;1.000076748326
-4.650000000000;1.001949353828
-4.600000000000;1.006349052516
-4.550000000000;1.013331533031
-4.500000000000;1.022986383671
-4.450000000000;1.035439940059
-4.400000000000;1.050859416387
-4.350000000000;1.069458578053
-4.300000000000;1.091505326587
-4.250000000000;1.117331721105
-4.200000000000;1.147347174682
-4.150000000000;1.182055870260
-4.100000000000;1.222079887704
-4.050000000000;1.268190199854
-4.000000000000;1.321348708812
-3.950000000000;1.382766069704
-3.900000000000;1.453982558820
-3.850000000000;1.536983345757
-3.800000000000;1.634366435087
-3.750000000000;1.749593555772
-3.700000000000;1.887375969267
-3.650000000000;2.054288059792
-3.600000000000;2.259782604740
-3.550000000000;2.517951944315
-3.500000000000;2.850763437535
-3.450000000000;3.294442302386
-3.400000000000;3.913264801899
-3.350000000000;4.833206720614
-3.300000000000;6.339317250031
-3.250000000000;9.242559791101
-3.200000000000;17.130872356913
